RELAÇÃO DE COLABORADORES — FRETAMENTO 2026
Empresa Modelo S.A. · exportado do RH

Matrícula;Colaborador;Endereço;Nº;Bairro;Planta;Turno de trabalho;Mobilidade reduzida;Latitude;Longitude;Centro de custo
50046;Iara Esteves;Av. Industrial;549;Vila Industrial;Planta 1 — Fábrica;2 TURNO;;-21.153394;-47.783986;CC-4090 Administrativo
50047;Márcia Almeida;Travessa da Fábrica;1120;Centro;Planta 2 — Centro de distribuição;B;;-21.161789;-47.800584;CC-3070 Qualidade
50048;Kátia Barbosa;Rua 7 de Setembro;268;Distrito de Bonfim;Escritório administrativo;COMERCIAL;;-21.182183;-47.85849;CC-5020 Manutenção
50049;Nilton Teixeira;Av. Industrial;551;Zona Rural Norte;Escritório administrativo;COMERCIAL;;-21.060635;-47.757088;CC-2040 Logística
50050;Odete Lima;Rua das Palmeiras;196;Jardim Operário;Planta 1 — Fábrica;3º turno;;-21.178975;-47.81828;CC-2040 Logística
50051;Odete Gonçalves;Rodovia SP-330 km 12;1146;Vila Industrial;Planta 2 — Centro de distribuição;2º turno;;-21.154482;-47.778565;CC-3070 Qualidade
50052;Nilton Barbosa;Travessa da Fábrica;699;Centro;Planta 1 — Fábrica;1 TURNO;;-21.146097;-47.803861;CC-5020 Manutenção
50053;Paulo Lima;Rua Dom Pedro;45;Distrito de Bonfim;Planta 2 — Centro de distribuição;turno 2;;-21.205016;-47.835602;CC-3070 Qualidade
50054;Odete Gonçalves;Rua das Palmeiras;842;Zona Rural Norte;Planta 1 — Fábrica;T2;;-21.102932;-47.786031;CC-5020 Manutenção
50055;Sérgio Moreira;Av. dos Trabalhadores;1002;Jardim Operário;Escritório administrativo;COMERCIAL;;-21.158084;-47.830757;CC-3070 Qualidade
50056;Fernando Cardoso;Rodovia SP-330 km 12;s/n;Vila Industrial;Escritório administrativo;Geral;-;;;CC-1010 Produção
50057;VAGNER GONÇALVES;Rua Dom Pedro;1053;Centro;Planta 2 — Centro de distribuição;1º turno;;-21.168055;-47.79819;CC-3070 Qualidade
50058;Paulo Esteves;Rua Projetada B;s/n;Distrito de Bonfim;Planta 1 — Fábrica;B;;;;CC-5020 Manutenção
50059;Gisele Esteves;Rua das Palmeiras;71;Zona Rural Norte;Planta 2 — Centro de distribuição;2 TURNO;;-21.088878;-47.744046;CC-2040 Logística
50060;Edna Lima;Rua das Palmeiras;381;Jardim Operário;Escritório administrativo;Administrativo;;-21.163644;-47.808401;CC-5020 Manutenção
50061;Paulo Almeida;Rua Projetada B;318;Vila Industrial;Planta 2 — Centro de distribuição;1 TURNO;;-21.145478;-47.793837;CC-5020 Manutenção
50062;Bruno Teixeira;Rua 7 de Setembro;674;Centro;Planta 1 — Fábrica;T1;;-21.166728;-47.808237;CC-2040 Logística
50063;Cláudia Ramos;Travessa da Fábrica;436;Distrito de Bonfim;Planta 2 — Centro de distribuição;3 TURNO;;-21.196356;-47.873283;CC-4090 Administrativo
50064;Nilton Santos;Travessa da Fábrica;1145;Zona Rural Norte;Escritório administrativo;Geral;;-21.064489;-47.767138;CC-2040 Logística
50065;Gisele Duarte;Av. Industrial;353;Jardim Operário;Planta 2 — Centro de distribuição;3º turno;;-21.177236;-47.830134;CC-2040 Logística
50066;Nilton Almeida;Rua 7 de Setembro;589;Vila Industrial;Planta 1 — Fábrica;2 TURNO;;-21.139749;-47.797872;CC-4090 Administrativo
50067;Renata Santos;Rua Dom Pedro;s/n;Centro;Escritório administrativo;Geral;;;;CC-3070 Qualidade
50068;Odete Queiroz;Av. dos Trabalhadores;522;Distrito de Bonfim;Planta 1 — Fábrica;T2;;-21.182461;-47.87048;CC-3070 Qualidade
50069;Sérgio Duarte;Rodovia SP-330 km 12;927;Zona Rural Norte;Escritório administrativo;Geral;;-21.088207;-47.753464;CC-5020 Manutenção
50070;Odete Teixeira;Rua Projetada B;189;Jardim Operário;Planta 1 — Fábrica;2º turno;;-21.172286;-47.810013;CC-3070 Qualidade
50071;Adriana Barbosa;Av. dos Trabalhadores;314;Vila Industrial;Planta 2 — Centro de distribuição;3 TURNO;NÃO;-21.15519;-47.793869;CC-2040 Logística
50072;Kátia Santos;Rua Projetada B;85;Centro;Planta 1 — Fábrica;turno 3;;-21.169059;-47.803981;CC-2040 Logística
50073;Odete Gonçalves;Rua das Palmeiras;1022;Distrito de Bonfim;Planta 2 — Centro de distribuição;3º turno;;-47.871528;-21.223026;CC-1010 Produção
50074;Renata Santos;Rua Projetada B;1189;Zona Rural Norte;Escritório administrativo;ADM;;-21.082999;-47.780397;CC-5020 Manutenção
50075;Fernando Duarte;Travessa da Fábrica;831;Jardim Operário;Planta 2 — Centro de distribuição;T2;;-21.182999;-47.822861;CC-4090 Administrativo
50076;MÁRCIA ALMEIDA;Rua 7 de Setembro;767;Vila Industrial;Planta 1 — Fábrica;T1;;-21.149919;-47.797341;CC-1010 Produção
50077;Gisele Duarte;Travessa da Fábrica;1056;Centro;Escritório administrativo;ADM;NÃO;-21.146523;-47.800391;CC-2040 Logística
50078;Paulo Barbosa;Rua 7 de Setembro;90;Distrito de Bonfim;Planta 1 — Fábrica;turno 1;não;-21.191408;-47.854067;CC-1010 Produção
50079;Sérgio Farias;Rua das Palmeiras;1110;Zona Rural Norte;Planta 2 — Centro de distribuição;2 TURNO;;-21.131435;-47.768117;CC-4090 Administrativo
50080;Odete Cardoso;Rua Dom Pedro;352;Jardim Operário;Planta 1 — Fábrica;1º turno;;-21.175536;-47.810171;CC-2040 Logística
50081;Renata Nunes;Rua das Palmeiras;s/n;Vila Industrial;Planta 2 — Centro de distribuição;2 TURNO;;;;CC-2040 Logística
50082;Tânia Henriques;Av. dos Trabalhadores;360;Centro;Escritório administrativo;Escritório;;-21.161499;-47.812428;CC-2040 Logística
50083;Adriana Queiroz;Av. dos Trabalhadores;1050;Distrito de Bonfim;Planta 2 — Centro de distribuição;1 TURNO;;-21.222108;-47.878052;CC-5020 Manutenção
50084;Adriana Lima;Rua Dom Pedro;629;Zona Rural Norte;Planta 1 — Fábrica;A;;-21.099138;-47.733831;CC-1010 Produção
50085;Kátia Farias;Rua Dom Pedro;1030;Jardim Operário;Planta 2 — Centro de distribuição;turno 3;;-21.169349;-47.800903;CC-2040 Logística
50086;Adriana Moreira;Rua Dom Pedro;s/n;Vila Industrial;Planta 1 — Fábrica;turno 1;;;;CC-1010 Produção
50087;Odete Duarte;Rua Projetada B;s/n;Centro;Planta 2 — Centro de distribuição;1 TURNO;;;;CC-4090 Administrativo
50088;Jonas Lima;Rua Dom Pedro;209;Distrito de Bonfim;Planta 1 — Fábrica;B;;-21.232423;-47.85468;CC-2040 Logística
50089;Gisele Moreira;Av. dos Trabalhadores;340;Zona Rural Norte;Planta 2 — Centro de distribuição;T3;;-21.134556;-47.735995;CC-2040 Logística
50090;Vagner Nunes;Rodovia SP-330 km 12;1103;Jardim Operário;Planta 1 — Fábrica;turno 3;;-21.17865;-47.822764;CC-3070 Qualidade
50091;Odete Henriques;Rua 7 de Setembro;348;Vila Industrial;Planta 2 — Centro de distribuição;turno 1;;-21.151381;-47.804542;CC-2040 Logística
50092;Odete Queiroz;Rodovia SP-330 km 12;692;Centro;Planta 1 — Fábrica;C;;-21.165936;-47.809721;CC-4090 Administrativo
50093;Hélio Moreira;Av. dos Trabalhadores;s/n;Distrito de Bonfim;Escritório administrativo;Escritório;;;;CC-1010 Produção
50094;Nilton Ramos;Estrada do Contorno;s/n;Zona Rural Norte;Planta 1 — Fábrica;B;;;;CC-3070 Qualidade
50095;ADRIANA DUARTE;Rua Dom Pedro;892;Jardim Operário;Planta 2 — Centro de distribuição;A;;-21.180436;-47.824529;CC-1010 Produção
50096;Sérgio Cardoso;Av. dos Trabalhadores;1057;Vila Industrial;Escritório administrativo;ADM;;-21.158908;-47.783316;CC-3070 Qualidade
50097;Jonas Almeida;Rua Projetada B;204;Centro;Planta 2 — Centro de distribuição;T1;;-21.160875;-47.798579;CC-2040 Logística
50097;Jonas Almeida;Rua Projetada B;204;Centro;Planta 1 — Fábrica;T1;;-21.160875;-47.798579;CC-2040 Logística
50098;Sérgio Teixeira;Travessa da Fábrica;955;Distrito de Bonfim;Planta 1 — Fábrica;T2;não;-21.191543;-47.851858;CC-5020 Manutenção
50099;Nilton Esteves;Travessa da Fábrica;1020;Zona Rural Norte;Planta 2 — Centro de distribuição;T1;;-21.13968;-47.739163;CC-3070 Qualidade
50100;Douglas Barbosa;Rodovia SP-330 km 12;509;Jardim Operário;Planta 1 — Fábrica;turno 2;;-21.154508;-47.807866;CC-2040 Logística
50101;Adriana Esteves;Av. Industrial;464;Vila Industrial;Planta 2 — Centro de distribuição;2 TURNO;não;-21.150736;-47.775606;CC-1010 Produção
50102;Nilton Cardoso;Rua 7 de Setembro;480;Centro;Planta 1 — Fábrica;B;;-21.162699;-47.792877;CC-5020 Manutenção
50103;Nilton Lima;Rua 7 de Setembro;426;Distrito de Bonfim;Planta 2 — Centro de distribuição;A;;-21.221867;-47.862926;CC-3070 Qualidade
50104;Renata Moreira;Estrada do Contorno;692;Zona Rural Norte;Escritório administrativo;COMERCIAL;;-21.083327;-47.777264;CC-1010 Produção
50105;Kátia Queiroz;Av. dos Trabalhadores;882;Jardim Operário;Planta 2 — Centro de distribuição;turno 3;;-21.182902;-47.825501;CC-5020 Manutenção
50106;Márcia Pires;Travessa da Fábrica;21;Vila Industrial;Planta 1 — Fábrica;1 TURNO;;-21.151305;-47.804276;CC-1010 Produção
50107;Vagner Almeida;Av. Industrial;678;Centro;Escritório administrativo;Escritório;;-21.147369;-47.80464;CC-3070 Qualidade
50108;Iara Almeida;Av. dos Trabalhadores;1106;Distrito de Bonfim;Planta 1 — Fábrica;turno 1;;-21.203762;-47.850727;CC-5020 Manutenção
50109;Sérgio Barbosa;Av. Industrial;215;Zona Rural Norte;Planta 2 — Centro de distribuição;T1;?;-21.115719;-47.751147;CC-4090 Administrativo
50110;Bruno Esteves;Rua 7 de Setembro;s/n;Jardim Operário;Planta 1 — Fábrica;turno 2;não;;;CC-5020 Manutenção
50111;Odete Gonçalves;Rodovia SP-330 km 12;338;Vila Industrial;Escritório administrativo;Geral;;-21.142345;-47.779524;CC-1010 Produção
50112;Cláudia Santos;Rua Dom Pedro;2;Centro;Escritório administrativo;COMERCIAL;;-21.16761;-47.801662;CC-1010 Produção
50113;Edna Ramos;Estrada do Contorno;s/n;Distrito de Bonfim;Planta 2 — Centro de distribuição;1 TURNO;;;;CC-3070 Qualidade
50114;ADRIANA DUARTE;Rua das Palmeiras;752;Zona Rural Norte;Planta 1 — Fábrica;A;;-21.128106;-47.725768;CC-3070 Qualidade
50115;Sérgio Henriques;Rodovia SP-330 km 12;150;Jardim Operário;Planta 2 — Centro de distribuição;1º turno;;-21.175054;-47.800574;CC-3070 Qualidade
50116;Edna Farias;Travessa da Fábrica;744;Vila Industrial;Planta 1 — Fábrica;1º turno;;-21.154234;-47.799476;CC-2040 Logística
50117;Leandro Teixeira;Rodovia SP-330 km 12;101;Centro;Planta 2 — Centro de distribuição;A;;-21.150109;-47.794015;CC-2040 Logística
50118;Iara Teixeira;Rua Projetada B;212;Distrito de Bonfim;Planta 1 — Fábrica;3º turno;;-21.21065;-47.84443;CC-3070 Qualidade
50119;Nilton Cardoso;Rua das Palmeiras;140;Zona Rural Norte;Planta 2 — Centro de distribuição;2 TURNO;;-21.070251;-47.72794;CC-1010 Produção
50120;Gisele Gonçalves;Av. dos Trabalhadores;193;Jardim Operário;Escritório administrativo;COMERCIAL;;-21.160209;-47.815958;CC-5020 Manutenção
50121;Nilton Nunes;Travessa da Fábrica;1001;Vila Industrial;Planta 2 — Centro de distribuição;turno 2;;-21.135778;-47.786087;CC-3070 Qualidade
50122;Leandro Gonçalves;Rua Projetada B;1101;Centro;Planta 1 — Fábrica;T2;;-21.162909;-47.808497;CC-1010 Produção
50123;Nilton Santos;Travessa da Fábrica;827;Distrito de Bonfim;Escritório administrativo;ADM;;-21.222266;-47.872281;CC-3070 Qualidade
50124;Douglas Lima;Estrada do Contorno;943;Zona Rural Norte;Planta 1 — Fábrica;T1;;-21.11542;-47.779969;CC-5020 Manutenção
50125;Paulo Pires;Estrada do Contorno;s/n;Jardim Operário;Planta 2 — Centro de distribuição;A;;;;CC-3070 Qualidade
50126;Nilton Moreira;Rua Projetada B;754;Vila Industrial;Planta 1 — Fábrica;2º turno;;-21.155357;-47.787582;CC-5020 Manutenção
50127;Tânia Teixeira;Av. dos Trabalhadores;1127;Centro;Planta 2 — Centro de distribuição;T1;;-21.160311;-47.813096;CC-3070 Qualidade
50128;Fernando Cardoso;Rua Projetada B;956;Distrito de Bonfim;Planta 1 — Fábrica;turno 2;;-21.200691;-47.888672;CC-3070 Qualidade
50129;Jonas Cardoso;Av. Industrial;794;Zona Rural Norte;Planta 2 — Centro de distribuição;C;;-21.075775;-47.780193;CC-3070 Qualidade
50130;Nilton Cardoso;Rua Dom Pedro;507;Jardim Operário;Planta 1 — Fábrica;1 TURNO;;-21.165312;-47.810643;CC-3070 Qualidade
50131;Hélio Lima;Rua 7 de Setembro;986;Vila Industrial;Planta 2 — Centro de distribuição;2 TURNO;;-21.156556;-47.803828;CC-5020 Manutenção
50132;Cláudia Esteves;Av. Industrial;759;Centro;Planta 1 — Fábrica;turno 1;;-21.150221;-47.802613;CC-1010 Produção
50133;SÉRGIO ALMEIDA;Av. dos Trabalhadores;s/n;Distrito de Bonfim;Planta 2 — Centro de distribuição;1º turno;;;;CC-4090 Administrativo
50134;Bruno Almeida;Rua Dom Pedro;1010;Zona Rural Norte;Planta 1 — Fábrica;2º turno;N;-21.097542;-47.781853;CC-1010 Produção
50135;Leandro Santos;Travessa da Fábrica;1084;Jardim Operário;Planta 2 — Centro de distribuição;T1;-;-21.184355;-47.817297;CC-4090 Administrativo
50136;Cláudia Duarte;Rua das Palmeiras;503;Vila Industrial;Planta 1 — Fábrica;A;;-21.146761;-47.788122;CC-1010 Produção
50137;Bruno Moreira;Rua Projetada B;404;Centro;Planta 2 — Centro de distribuição;turno 1;N;-21.15131;-47.805183;CC-4090 Administrativo
50138;Paulo Duarte;Rua das Palmeiras;168;Distrito de Bonfim;Planta 1 — Fábrica;1º turno;;-21.198739;-47.874667;CC-1010 Produção
50139;Renata Cardoso;Rua das Palmeiras;695;Zona Rural Norte;Escritório administrativo;Escritório;;-21.079854;-47.783657;CC-2040 Logística
50140;Tânia Farias;Estrada do Contorno;s/n;Jardim Operário;Planta 1 — Fábrica;1º turno;;;;CC-2040 Logística
50141;Paulo Duarte;Av. Industrial;599;Vila Industrial;Planta 2 — Centro de distribuição;turno 2;não;-21.156052;-47.792311;CC-4090 Administrativo
50142;Paulo Nunes;Estrada do Contorno;676;Centro;Planta 1 — Fábrica;T1;;-21.161161;-47.795578;CC-4090 Administrativo
50143;Renata Esteves;Rodovia SP-330 km 12;187;Distrito de Bonfim;Escritório administrativo;Administrativo;;-21.217696;-47.867165;CC-4090 Administrativo
50144;Fernando Queiroz;Rua Dom Pedro;1059;Zona Rural Norte;Planta 1 — Fábrica;1º turno;;-21.100123;-47.789726;CC-5020 Manutenção
50145;Fernando Almeida;Rua 7 de Setembro;s/n;Jardim Operário;Planta 2 — Centro de distribuição;2º turno;;;;CC-1010 Produção
50146;Jonas Esteves;Rua das Palmeiras;748;Vila Industrial;Planta 1 — Fábrica;T2;;-47.794571;-21.137341;CC-1010 Produção
50147;Sérgio Santos;Rua das Palmeiras;216;Centro;Planta 2 — Centro de distribuição;1º turno;;-21.149658;-47.795119;CC-2040 Logística
50148;Kátia Farias;Estrada do Contorno;964;Distrito de Bonfim;Planta 1 — Fábrica;B;NÃO;-21.205896;-47.885843;CC-2040 Logística
50149;Odete Queiroz;Rua Projetada B;224;Zona Rural Norte;Planta 2 — Centro de distribuição;3º turno;;-21.074773;-47.731911;CC-5020 Manutenção
50150;Leandro Queiroz;Rua Projetada B;1188;Jardim Operário;Planta 1 — Fábrica;turno 1;;-21.164962;-47.806301;CC-3070 Qualidade
50151;Gisele Lima;Av. dos Trabalhadores;70;Vila Industrial;Planta 2 — Centro de distribuição;T1;;-21.147516;-47.804781;CC-3070 Qualidade
50152;DOUGLAS BARBOSA;Travessa da Fábrica;s/n;Centro;Planta 1 — Fábrica;T3;;;;CC-4090 Administrativo
50153;Cláudia Duarte;Av. dos Trabalhadores;s/n;Distrito de Bonfim;Planta 2 — Centro de distribuição;T1;;;;CC-5020 Manutenção
50154;Leandro Barbosa;Av. Industrial;666;Zona Rural Norte;Planta 1 — Fábrica;2 TURNO;;-21.128221;-47.741186;CC-4090 Administrativo
50155;Cláudia Barbosa;Rua das Palmeiras;321;Jardim Operário;Planta 2 — Centro de distribuição;T1;;-21.160775;-47.813537;CC-2040 Logística
50156;Adriana Pires;Rua 7 de Setembro;240;Vila Industrial;Escritório administrativo;Geral;sim;-21.152134;-47.774956;CC-3070 Qualidade
50157;Douglas Almeida;Av. Industrial;466;Centro;Escritório administrativo;COMERCIAL;;-21.156042;-47.794455;CC-1010 Produção
50158;Edna Farias;Rua Projetada B;420;Distrito de Bonfim;Planta 1 — Fábrica;turno 1;;-21.196853;-47.880617;CC-5020 Manutenção
50159;Odete Teixeira;Rua Dom Pedro;587;Zona Rural Norte;Planta 2 — Centro de distribuição;turno 2;;-21.073847;-47.758035;CC-3070 Qualidade
50160;Jonas Esteves;Av. Industrial;321;Jardim Operário;Planta 1 — Fábrica;A;;-21.186636;-47.80723;CC-4090 Administrativo
50161;Jonas Lima;Travessa da Fábrica;181;Vila Industrial;Planta 2 — Centro de distribuição;3º turno;;-21.157267;-47.784796;CC-4090 Administrativo
50162;Bruno Pires;Rua das Palmeiras;1170;Centro;Planta 1 — Fábrica;turno 2;;-21.167205;-47.795774;CC-4090 Administrativo
50163;Iara Henriques;Rua Dom Pedro;797;Distrito de Bonfim;Planta 2 — Centro de distribuição;A;;-21.180174;-47.872356;CC-4090 Administrativo
50164;Douglas Almeida;Rua Projetada B;s/n;Zona Rural Norte;Planta 1 — Fábrica;C;;;;CC-1010 Produção
50165;Hélio Santos;Rua Dom Pedro;862;Jardim Operário;Planta 2 — Centro de distribuição;turno 1;sim;-21.187649;-47.81946;CC-1010 Produção
50166;Paulo Nunes;Rua 7 de Setembro;1119;Vila Industrial;Planta 1 — Fábrica;T2;;-21.154181;-47.786163;CC-5020 Manutenção
50167;Fernando Barbosa;Rua Dom Pedro;s/n;Centro;Planta 2 — Centro de distribuição;T3;;;;CC-5020 Manutenção
50168;Odete Ramos;Travessa da Fábrica;182;Distrito de Bonfim;Planta 1 — Fábrica;T2;;-21.183168;-47.8735;CC-5020 Manutenção
50169;Renata Teixeira;Rua Dom Pedro;343;Zona Rural Norte;Planta 2 — Centro de distribuição;T2;;-21.085268;-47.730602;CC-1010 Produção
50170;Cláudia Ramos;Rua Dom Pedro;1021;Jardim Operário;Escritório administrativo;Geral;;-21.178064;-47.822362;CC-4090 Administrativo
50171;EDNA LIMA;Rua 7 de Setembro;871;Vila Industrial;Escritório administrativo;Escritório;;-21.14183;-47.801611;CC-2040 Logística
50172;Gisele Duarte;Av. Industrial;587;Centro;Planta 1 — Fábrica;T2;;-21.166748;-47.799502;CC-2040 Logística
50173;Jonas Moreira;Rua Dom Pedro;719;Distrito de Bonfim;Planta 2 — Centro de distribuição;2º turno;;-21.185639;-47.862672;CC-5020 Manutenção
50174;Tânia Barbosa;Rua Projetada B;1045;Zona Rural Norte;Escritório administrativo;Escritório;NÃO;-21.065202;-47.742873;CC-2040 Logística
50175;Fernando Santos;Rua Dom Pedro;1158;Jardim Operário;Escritório administrativo;COMERCIAL;;-21.163342;-47.798624;CC-4090 Administrativo
50176;Cláudia Pires;Av. dos Trabalhadores;s/n;Vila Industrial;Planta 1 — Fábrica;3º turno;;;;CC-1010 Produção
50177;Paulo Moreira;Estrada do Contorno;962;Centro;Planta 2 — Centro de distribuição;T1;;-21.161988;-47.794685;CC-4090 Administrativo
50178;Gisele Moreira;Rua 7 de Setembro;645;Distrito de Bonfim;Planta 1 — Fábrica;T1;?;-21.197615;-47.884407;CC-1010 Produção
50179;Cláudia Moreira;Rua Projetada B;s/n;Zona Rural Norte;Planta 2 — Centro de distribuição;2 TURNO;;;;CC-5020 Manutenção
50180;Jonas Nunes;Rodovia SP-330 km 12;s/n;Jardim Operário;Planta 1 — Fábrica;3 TURNO;;;;CC-3070 Qualidade
50181;Sérgio Duarte;Av. dos Trabalhadores;878;Vila Industrial;Escritório administrativo;ADM;;-21.148281;-47.79504;CC-1010 Produção
50182;Sérgio Gonçalves;Rua Projetada B;133;Centro;Escritório administrativo;ADM;;-21.150181;-47.808422;CC-1010 Produção
